Ever_Married,Profession,Segmentation
1,3,A
1,0,A
0,3,C
0,1,D
1,0,B
1,0,B
1,7,B
1,4,C
0,0,B
1,2,A
0,5,D
1,4,C
1,8,A
1,0,C
0,0,A
0,5,C
1,0,B
0,3,D
0,5,A
0,8,D
1,2,C
0,3,B
0,1,D
0,0,C
0,2,D
0,3,D
1,4,B
1,2,A
1,1,A
1,0,A
1,3,B
1,3,C
1,5,D
0,5,D
0,5,D
1,7,B
1,8,B
1,0,C
1,1,B
1,2,B
1,2,B
1,4,D
1,7,B
1,4,A
1,1,A
1,7,C
0,6,D
0,0,B
0,8,B
0,5,D
1,2,B
1,7,A
0,5,D
0,1,D
0,0,A
0,0,A
1,2,D
1,2,B
0,5,D
1,0,C
1,2,B
0,2,C
0,5,C
1,0,C
0,3,A
0,5,A
0,5,D
0,5,A
0,1,A
1,0,C
0,0,B
1,3,B
1,0,A
1,2,A
0,5,C
1,7,A
0,5,D
1,0,A
1,8,C
1,0,C
1,0,C
0,2,B
1,7,B
0,5,B
0,1,D
0,2,A
0,6,D
0,8,A
1,7,A
0,5,D
0,0,A
0,3,A
1,2,B
0,3,A
1,0,B
1,5,A
0,0,D
0,4,A
0,5,D
1,3,C
0,0,B
0,3,D
1,7,D
0,1,D
0,1,D
0,0,A
0,1,C
1,0,C
1,0,C
1,3,D
0,0,A
1,2,B
0,0,A
1,0,B
1,0,A
1,0,C
1,0,C
1,0,B
0,5,D
0,1,C
0,0,A
1,1,B
1,0,A
1,0,C
0,0,D
1,7,D
1,6,B
1,3,A
1,4,D
1,0,C
0,2,D
0,5,D
1,1,C
1,1,C
1,2,B
1,0,B
1,4,B
1,4,C
0,5,D
0,5,D
1,3,B
1,7,B
1,0,B
0,8,D
1,7,B
1,2,A
1,0,B
1,0,C
0,6,D
1,3,B
0,5,D
0,3,B
1,0,C
1,0,B
1,3,A
1,0,C
0,3,A
0,1,A
1,3,A
1,2,A
0,5,A
0,4,A
0,0,B
0,0,A
1,2,A
1,1,B
1,7,C
0,3,A
1,0,A
1,0,C
1,0,C
1,7,A
1,0,A
1,0,C
0,2,A
0,2,A
0,0,B
0,5,D
0,5,B
0,2,D
1,7,D
1,0,C
1,0,C
1,0,C
0,0,D
0,8,B
0,1,D
1,7,C
0,5,A
0,0,A
1,3,B
1,8,A
0,2,D
0,1,A
1,4,D
1,0,C
0,5,D
0,6,D
1,0,C
0,5,A
1,0,C
1,5,B
0,7,D
1,0,B
1,7,A
0,5,C
1,3,A
0,0,C
1,5,D
1,5,D
1,5,D
0,5,D
0,6,D
1,0,A
1,0,A
1,0,B
0,5,C
0,0,A
1,7,A
1,0,C
1,0,C
0,3,A
0,5,A
0,1,B
1,6,D
0,0,C
0,5,D
1,5,D
0,5,A
0,0,A
1,1,A
1,4,D
1,4,C
0,5,D
1,0,C
0,0,B
1,3,B
0,8,A
0,5,A
1,0,C
0,0,B
1,3,A
1,6,A
1,3,B
0,5,C
1,3,A
1,2,C
0,5,D
0,1,C
0,5,A
0,5,D
0,5,D
1,0,B
0,1,A
0,0,C
0,0,B
0,1,A
1,2,B
1,1,B
1,0,C
1,3,C
1,1,A
1,2,B
0,0,C
1,0,C
1,4,B
1,4,C
1,0,C
0,0,B
1,3,C
0,2,A
1,0,C
1,3,C
0,6,B
0,8,D
0,1,D
1,6,A
0,8,A
0,5,D
0,0,A
0,2,A
1,0,A
0,5,C
1,0,C
1,0,B
1,7,A
1,3,D
0,3,D
0,5,D
0,5,D
0,0,D
0,2,B
0,5,D
0,2,A
0,0,D
1,4,D
1,0,C
1,0,A
1,0,C
1,0,C
0,2,B
1,0,C
0,5,D
1,7,C
0,8,D
1,0,C
1,3,A
0,1,A
0,8,D
1,0,A
1,4,A
1,7,C
1,5,A
0,5,D
0,0,B
0,3,A
1,4,D
1,1,D
1,2,D
1,4,D
1,3,A
1,3,B
1,3,B
0,5,D
0,1,C
1,0,B
1,7,A
1,4,A
0,5,D
1,0,A
1,4,C
1,0,C
0,1,C
1,0,B
1,0,C
1,7,C
0,5,D
1,2,B
0,5,D
1,0,C
1,7,D
0,8,D
1,0,A
0,3,A
0,5,D
1,3,A
0,0,C
1,1,C
0,5,D
0,5,D
1,7,B
1,0,C
1,7,B
1,0,C
0,5,D
0,0,A
1,0,A
1,4,A
1,5,A
1,5,D
1,3,D
1,1,C
1,0,C
0,8,A
0,5,D
0,5,D
1,0,C
0,1,D
1,0,C
1,7,A
0,5,B
1,7,B
1,1,C
1,3,A
1,0,C
1,4,A
1,4,B
0,8,A
1,4,A
1,0,A
1,0,C
1,0,A
1,4,B
0,1,A
0,5,D
0,1,C
0,8,D
0,3,A
1,0,A
0,0,D
1,2,D
0,8,C
0,0,C
1,1,B
1,7,D
0,1,D
1,0,C
1,0,C
1,3,C
0,5,D
1,1,A
1,0,D
1,3,C
1,4,D
1,3,A
1,0,C
0,0,A
0,5,C
0,2,D
0,5,D
0,5,D
0,5,D
0,1,D
1,3,A
1,7,D
1,3,C
0,5,A
1,0,B
1,4,D
0,0,B
1,4,A
0,5,D
0,5,D
1,3,B
1,0,C
1,2,A
0,0,B
1,4,C
1,6,B
1,3,D
1,7,D
0,5,D
0,1,D
1,0,B
0,8,D
0,0,B
0,5,D
0,5,D
0,5,D
1,4,D
0,3,D
1,2,B
1,3,A
0,8,D
1,1,A
1,4,D
0,2,A
0,5,D
1,0,D
0,3,A
0,5,C
1,0,A
0,3,D
1,5,A
1,4,B
0,5,D
1,2,A
1,0,B
1,2,D
1,2,B
0,3,D
0,2,A
1,5,C
1,3,B
1,0,C
1,3,C
0,0,C
1,0,A
0,5,D
0,5,D
1,3,C
1,7,B
0,8,D
1,0,B
1,2,A
1,2,B
0,0,B
1,3,C
0,5,A
1,0,C
1,7,A
1,1,B
1,0,B
1,2,C
1,3,D
0,8,B
0,2,A
1,5,A
0,2,D
1,3,B
1,0,B
1,3,B
1,0,B
1,0,C
1,3,C
0,2,C
1,8,D
1,3,B
0,5,D
1,0,B
1,2,A
1,0,B
0,6,D
1,0,C
0,3,D
1,0,B
1,6,A
0,3,A
1,7,B
1,0,D
1,3,B
0,5,D
1,7,B
1,1,B
1,3,D
1,4,C
0,0,C
1,4,C
1,0,C
0,8,D
1,0,B
0,5,D
0,5,D
1,0,C
0,3,A
0,5,D
1,4,C
1,0,C
1,4,A
0,4,D
1,3,C
1,1,A
0,3,A
0,6,D
0,1,D
0,5,D
1,0,C
1,8,D
0,3,A
1,3,C
0,5,B
0,0,A
1,6,C
1,0,C
1,0,A
1,4,C
1,8,D
0,2,A
1,4,B
0,5,D
0,5,D
1,0,C
1,1,B
0,5,D
0,5,D
0,5,D
1,1,B
1,0,B
0,5,D
1,5,B
1,3,B
1,7,D
0,5,D
0,5,D
0,5,A
1,7,B
1,4,B
1,0,B
1,7,A
1,2,D
0,5,D
0,5,D
0,7,B
0,8,A
0,0,A
1,2,B
0,8,D
0,0,A
1,1,D
0,8,A
1,5,D
0,3,A
1,2,D
1,0,C
0,6,D
0,5,D
0,0,B
1,3,B
1,0,C
0,0,A
1,5,D
1,4,A
1,0,C
1,0,C
0,1,C
0,5,D
1,4,A
1,0,A
1,0,C
1,4,D
1,2,B
1,8,C
1,0,B
1,2,C
0,3,A
1,0,B
0,1,D
1,0,C
0,8,D
1,7,B
0,7,C
0,5,D
1,7,B
0,1,D
1,0,C
0,5,D
0,5,D
0,0,B
0,0,A
0,8,D
1,6,D
0,6,D
1,2,B
1,0,C
0,5,D
1,2,A
1,0,A
0,0,A
0,0,B
0,2,A
1,7,C
1,0,B
1,0,B
1,0,C
0,0,A
0,5,D
0,5,D
1,3,B
1,4,D
1,3,D
1,0,B
0,2,A
0,5,C
0,0,A
0,0,A
0,5,A
0,3,D
0,0,D
0,3,D
0,5,D
1,0,C
1,0,C
1,7,B
1,7,A
1,0,B
0,8,A
0,0,B
1,0,C
0,5,D
0,3,D
1,3,A
0,0,A
1,1,C
1,0,C
0,3,A
0,5,D
0,5,C
0,3,A
1,2,D
1,0,C
1,7,B
1,0,A
1,6,D
0,5,A
0,2,A
1,6,B
0,1,D
0,5,D
1,2,D
0,0,B
1,3,D
0,8,B
1,2,B
0,3,A
0,0,A
0,1,A
0,0,D
1,2,B
1,7,D
0,5,D
1,4,B
0,6,D
0,5,D
1,0,C
1,3,A
1,3,B
0,4,A
1,0,C
1,4,A
0,0,A
1,1,B
1,0,B
0,2,A
0,5,C
1,0,C
1,3,A
1,0,C
1,3,A
0,3,A
0,0,A
1,7,C
0,5,D
1,0,C
1,7,C
0,0,A
0,5,D
1,3,B
1,4,C
0,0,C
1,0,B
1,4,B
1,3,B
1,3,B
1,0,B
1,7,C
1,4,C
0,5,D
1,0,B
0,5,D
0,5,C
1,8,D
1,0,B
0,3,A
1,2,B
1,0,A
0,1,C
1,0,C
1,0,B
1,4,A
1,1,D
0,5,D
0,8,A
1,2,C
1,3,A
0,0,D
1,3,B
0,0,A
0,0,B
0,0,B
1,5,A
1,3,A
1,2,B
1,1,D
0,0,B
0,3,D
0,3,A
1,1,C
1,3,B
0,0,C
1,0,B
0,0,A
1,5,D
0,6,D
0,1,B
1,0,B
0,5,D
1,4,B
0,0,A
1,1,D
1,8,A
1,0,C
0,1,D
1,0,B
1,3,C
1,0,C
0,5,C
0,3,D
0,1,D
1,3,A
0,3,C
0,3,D
1,2,C
0,2,D
0,2,D
1,0,C
1,3,A
1,0,A
1,7,B
0,5,D
1,2,B
1,2,C
1,0,B
1,4,C
1,0,C
0,0,B
0,5,D
0,5,D
0,5,D
1,1,B
1,0,A
0,0,C
1,3,B
0,3,D
1,2,A
0,3,D
1,3,D
1,0,B
1,4,B
1,2,A
1,7,C
0,5,D
0,2,B
0,5,D
0,0,A
1,7,A
0,2,A
1,0,C
1,4,C
0,2,B
1,4,C
1,4,C
1,3,A
0,5,D
1,0,C
1,0,C
0,0,C
0,8,D
1,0,B
0,5,C
1,0,C
1,0,C
0,5,D
1,0,C
1,7,C
1,0,C
1,0,C
1,5,C
1,3,A
0,3,D
0,3,C
0,8,D
0,0,A
1,4,A
1,7,B
1,7,A
0,8,D
1,0,C
1,6,A
0,5,D
1,8,A
1,7,B
0,5,C
1,4,B
0,5,B
1,0,C
0,5,D
0,2,A
0,1,C
0,5,D
0,5,D
1,1,C
0,5,D
0,0,A
0,5,D
0,5,D
0,0,C
1,0,A
0,0,A
1,0,C
1,2,A
1,3,B
1,7,A
1,4,C
1,0,A
1,0,B
1,4,B
1,0,C
1,2,A
1,0,C
1,7,D
1,0,B
1,4,C
1,3,D
0,5,D
1,1,A
1,5,C
1,0,C
1,3,A
1,3,A
1,0,C
0,0,B
1,0,C
0,4,D
1,1,A
1,1,D
1,3,A
1,0,C
0,0,A
1,4,B
1,0,C
1,5,A
0,0,A
1,3,B
0,1,D
0,5,D
1,4,C
1,5,B
1,1,B
1,0,C
0,0,B
1,0,C
1,5,D
1,7,B
1,3,B
1,0,C
1,0,B
1,0,C
0,5,C
1,0,C
1,7,B
0,0,B
0,5,B
1,4,B
1,6,C
0,3,D
0,2,A
1,0,C
0,0,B
0,1,C
0,3,A
1,0,A
0,5,D
1,8,D
1,4,C
1,4,B
1,6,B
1,8,A
0,1,A
1,0,C
0,5,C
1,2,D
0,2,C
0,7,A
0,1,C
1,3,C
1,0,C
0,1,D
1,4,C
1,3,A
1,1,A
0,2,C
0,2,A
0,5,C
1,2,A
1,7,A
1,0,B
1,6,D
1,5,D
0,6,D
1,7,A
0,0,B
1,7,C
1,0,C
1,3,D
1,0,B
0,1,C
1,3,B
0,3,A
0,5,D
1,0,C
1,1,B
1,2,A
0,0,D
0,2,A
0,5,D
0,5,C
0,5,D
1,0,B
1,4,C
1,2,A
1,3,B
1,0,C
0,3,B
1,6,A
0,0,A
1,4,C
1,0,A
1,3,B
0,0,A
0,0,B
0,2,D
1,0,B
1,0,C
0,5,D
1,7,A
1,0,D
1,0,A
0,5,D
0,1,A
1,1,C
1,0,B
0,5,D
1,0,B
0,7,B
0,5,D
0,3,B
0,1,D
1,3,A
0,5,A
1,3,B
0,5,D
0,5,D
0,0,A
1,7,A
0,1,D
1,0,A
0,0,A
0,8,D
1,0,B
1,7,D
1,0,C
1,4,B
1,0,C
1,0,C
1,6,D
1,7,B
0,0,A
0,5,D
1,0,A
1,1,A
0,5,D
1,1,A
0,5,D
0,3,A
1,0,C
1,4,B
1,0,C
0,0,A
0,3,A
1,3,C
0,5,D
0,5,D
0,5,D
1,0,C
0,2,D
1,7,A
1,1,C
1,0,C
1,8,D
1,0,B
0,3,D
1,1,C
0,0,B
0,1,D
0,2,A
0,5,D
1,0,C
0,5,D
0,1,D
0,5,D
1,7,B
0,2,A
0,1,A
1,7,A
1,7,B
1,0,A
1,0,A
1,7,C
0,5,D
0,2,A
0,1,D
1,0,C
1,0,C
1,0,C
1,0,B
1,3,B
0,8,D
1,0,B
0,7,D
1,7,C
1,0,B
1,5,A
0,5,B
1,1,A
0,5,D
1,2,A
0,0,B
0,0,A
0,5,D
0,5,D
1,0,B
1,4,D
1,4,A
0,5,D
1,3,B
1,2,D
0,1,C
0,1,B
0,2,A
1,0,C
1,3,C
1,1,B
0,4,D
1,4,C
1,0,C
0,3,A
1,2,A
1,5,A
1,5,D
0,5,C
1,2,A
1,4,C
0,5,A
1,4,C
1,4,C
0,0,D
1,3,A
1,0,B
1,4,B
0,1,C
0,8,B
1,7,C
0,1,D
0,0,B
1,0,C
0,5,A
0,0,A
1,3,B
0,5,D
1,0,A
0,0,A
1,0,C
0,5,D
1,2,C
1,7,A
0,8,D
1,0,C
1,0,C
0,5,D
1,0,B
0,5,D
1,0,C
1,0,C
0,5,D
0,0,A
1,0,C
0,5,D
0,0,B
1,4,B
1,0,C
1,3,A
1,3,D
1,0,B
0,2,A
1,3,B
1,0,A
1,2,B
1,8,A
1,0,C
1,8,D
1,0,A
0,0,C
1,0,C
1,0,B
0,0,B
1,4,C
1,0,C
1,7,C
1,2,B
1,4,A
1,2,A
1,0,C
1,0,C
0,1,D
1,3,A
1,0,C
1,8,B
0,0,D
0,0,A
0,0,A
0,1,D
0,0,C
1,2,C
0,0,C
1,0,C
0,5,D
1,3,B
0,1,C
1,1,B
1,1,C
1,4,D
0,1,A
0,5,D
1,0,C
1,0,B
1,3,A
0,2,D
1,4,C
1,3,D
1,0,A
1,0,B
0,5,C
1,2,A
0,5,B
1,0,B
1,6,D
0,5,D
1,0,C
0,3,B
0,4,A
1,7,B
1,4,C
0,5,C
0,3,A
0,5,D
0,5,D
1,0,C
0,1,D
1,4,B
0,3,C
1,3,D
1,0,A
1,2,B
0,5,D
1,0,C
1,2,B
1,2,A
1,4,C
1,3,A
1,7,B
0,0,A
1,0,C
0,5,D
1,2,A
1,3,D
0,0,A
0,0,D
1,7,D
0,5,D
1,1,C
1,4,B
1,7,A
1,3,A
0,8,A
1,3,B
1,8,C
1,8,B
1,0,C
1,2,B
0,0,B
0,8,D
0,5,D
0,1,B
1,6,D
0,2,D
1,0,B
1,0,C
0,6,A
1,0,C
0,5,B
0,5,D
0,5,D
0,5,D
1,0,B
1,0,B
1,8,D
0,0,A
1,0,B
0,2,A
0,8,A
1,0,C
1,2,B
0,5,D
0,5,D
1,2,B
0,0,D
1,5,C
1,3,A
1,6,B
0,0,A
1,3,C
0,3,A
1,4,A
1,8,B
1,3,A
0,0,A
0,3,A
1,0,C
1,3,A
1,5,B
0,5,D
0,5,D
0,6,D
1,3,A
1,0,B
1,7,A
1,4,C
1,0,A
0,3,D
0,0,C
1,7,A
0,5,D
1,0,B
1,3,B
1,2,A
1,0,C
0,5,D
0,0,D
1,5,D
0,3,A
0,5,B
0,1,D
0,5,D
0,5,B
0,5,C
0,1,B
1,7,A
1,2,C
0,0,A
1,3,C
0,5,D
1,1,A
0,5,D
0,6,D
1,1,A
1,6,A
1,7,A
0,5,C
0,0,B
1,3,C
1,4,B
1,1,C
1,3,A
0,5,D
1,8,A
1,3,C
0,8,B
1,3,D
0,0,A
0,6,B
1,5,B
1,0,B
1,0,C
0,5,D
1,7,A
0,4,A
1,7,A
0,0,A
1,0,B
1,1,C
1,5,A
0,6,A
1,7,A
1,0,C
1,3,C
1,4,C
0,8,D
0,0,A
0,0,B
1,1,D
0,5,D
0,5,D
1,4,C
0,5,D
1,3,A
1,4,C
1,7,A
1,0,C
0,0,D
1,4,C
1,0,A
1,0,C
0,0,B
1,0,B
1,0,C
0,2,A
0,8,B
0,1,A
0,5,D
0,0,A
1,0,B
0,7,C
1,2,B
1,3,B
0,6,D
1,3,C
0,3,D
1,2,B
0,5,A
0,5,D
1,7,C
1,3,B
0,6,C
1,0,C
1,0,C
0,5,D
0,3,B
1,1,B
1,0,A
0,3,D
1,3,A
1,7,B
1,4,D
1,2,B
1,0,C
1,1,C
1,4,D
0,8,D
1,0,C
1,0,C
1,0,C
1,6,C
0,1,A
1,4,C
1,0,C
1,0,A
1,2,B
1,0,B
1,1,C
1,7,B
1,0,C
1,3,D
0,3,A
1,3,A
0,1,D
1,7,D
0,2,D
0,5,D
1,0,B
1,0,C
1,0,C
1,4,A
1,4,A
1,0,C
0,0,C
0,1,C
1,0,B
0,5,D
1,4,B
1,0,A
1,0,C
0,5,D
1,7,B
0,0,C
1,4,D
1,1,D
1,0,C
1,2,A
0,0,A
1,0,C
0,3,B
1,0,C
1,0,C
1,7,A
0,0,D
1,3,A
1,4,A
1,1,C
1,0,B
1,7,A
0,0,C
1,2,A
0,8,D
1,6,A
0,2,D
1,7,A
0,5,D
0,8,D
1,0,C
1,0,C
0,2,A
0,0,A
1,7,D
1,6,D
0,5,D
1,0,C
1,0,B
0,4,D
1,2,A
1,2,D
0,0,A
1,7,A
1,0,A
0,0,A
1,2,D
1,8,D
1,0,C
0,5,C
1,0,B
1,6,B
1,8,D
0,4,D
1,3,C
1,7,A
0,5,A
1,4,A
1,4,C
0,5,D
0,0,C
1,0,A
1,4,B
1,0,C
1,4,B
1,7,A
1,5,D
0,0,A
1,0,C
1,1,A
1,0,C
1,0,C
1,7,B
0,0,A
1,5,D
1,5,C
1,0,B
1,7,B
0,8,D
1,3,D
0,1,B
0,6,A
0,0,C
0,5,C
0,3,A
0,3,D
1,0,B
1,7,C
1,0,C
0,3,A
0,1,C
0,0,B
0,1,D
1,3,A
0,5,B
0,0,A
0,5,D
0,5,D
1,0,C
1,0,C
1,2,D
0,5,D
0,5,C
1,4,A
1,3,D
1,2,B
1,0,C
0,0,C
1,0,A
1,0,B
0,5,D
0,3,C
0,6,A
0,3,B
1,4,B
0,0,B
0,3,D
0,4,C
0,1,D
0,2,B
0,0,A
0,3,A
0,5,D
0,5,D
1,0,C
0,5,D
1,0,B
0,2,A
0,5,D
0,3,D
1,4,B
1,0,A
1,0,C
0,5,D
0,5,D
1,0,B
0,3,D
1,7,A
1,3,B
0,8,D
1,4,A
1,0,B
0,5,D
0,8,D
0,5,B
1,2,D
0,8,D
1,0,C
1,0,A
1,1,C
1,3,B
1,0,A
1,4,C
1,0,B
0,5,D
1,2,A
1,3,D
1,0,C
0,5,D
0,4,D
0,5,D
0,0,D
1,4,C
1,4,A
0,6,D
1,1,C
0,5,D
0,5,A
1,4,B
1,4,D
0,5,D
1,4,C
1,0,C
0,1,B
0,1,A
0,0,B
1,0,C
1,1,C
1,0,B
1,0,C
1,0,B
0,5,D
1,0,B
0,0,A
1,8,A
1,2,B
1,0,C
1,7,A
0,5,D
1,3,A
1,0,C
0,3,A
0,3,C
1,7,B
0,8,D
1,0,C
0,3,A
0,1,A
1,2,B
1,3,A
1,2,A
0,6,B
1,0,A
0,0,A
1,0,B
0,6,C
1,3,C
1,4,C
1,1,D
1,4,C
1,3,A
0,2,D
1,4,D
0,5,D
1,4,A
1,2,B
1,7,A
0,0,B
1,1,B
1,0,C
0,0,A
1,7,A
1,8,D
1,7,A
0,3,A
1,1,D
1,0,B
1,0,A
0,1,B
0,0,B
0,3,D
1,8,D
0,0,A
0,2,C
1,0,C
0,1,C
0,5,D
1,4,D
0,3,A
1,3,D
1,0,B
0,0,B
1,4,A
0,0,A
1,2,A
1,0,C
0,1,D
1,0,C
1,3,A
1,2,A
0,0,B
0,3,A
0,5,D
1,3,A
0,1,B
1,0,C
0,1,A
1,1,C
1,7,D
0,6,D
1,0,B
0,5,D
1,3,C
0,5,D
0,5,D
0,1,D
0,2,D
1,5,B
1,0,B
1,3,B
1,7,B
0,6,A
1,4,B
1,0,C
1,0,C
1,1,D
1,6,D
1,0,A
1,7,D
1,0,C
0,1,A
1,0,C
0,8,B
0,3,B
0,2,D
1,4,D
1,0,C
1,1,A
1,7,B
0,0,A
1,0,C
1,3,B
0,5,B
1,1,A
0,3,D
1,6,A
1,0,B
0,0,B
1,3,B
0,5,D
1,3,A
0,0,C
1,1,A
0,6,D
1,7,C
1,7,A
1,4,D
0,5,D
1,2,B
0,0,A
0,5,D
1,0,B
0,5,D
1,0,B
1,3,B
0,3,A
0,3,D
0,5,D
1,0,A
1,0,B
1,0,C
0,5,C
1,0,C
1,0,C
0,3,D
1,4,B
0,5,D
0,5,A
1,3,C
1,4,B
0,2,D
1,2,B
1,0,B
1,7,A
0,2,D
0,5,B
0,0,A
0,5,D
0,5,D
1,8,A
1,3,C
0,5,D
0,5,D
1,0,A
0,5,D
1,6,B
1,4,D
0,2,B
1,2,A
0,5,D
0,3,D
1,0,A
1,2,B
0,5,D
1,4,D
1,0,B
0,2,A
1,1,D
0,5,D
1,2,A
1,2,A
1,0,A
1,0,B
1,4,C
1,3,A
0,1,B
0,1,A
1,6,C
0,0,A
1,7,A
1,0,C
1,7,B
1,2,A
0,5,D
0,0,B
0,2,B
1,1,B
1,7,C
1,3,A
1,4,C
0,0,D
1,7,A
1,4,B
0,0,C
1,6,C
0,6,D
0,0,B
1,7,C
0,5,D
0,3,A
1,8,D
1,2,B
1,0,C
1,2,A
0,0,C
0,5,D
0,5,B
0,5,D
0,5,D
1,1,C
1,1,B
1,4,C
0,1,A
0,1,B
0,0,A
1,3,A
1,7,C
0,0,D
0,6,D
0,4,D
0,1,B
1,0,C
1,7,A
1,7,B
0,5,C
1,3,A
1,6,B
0,0,A
0,5,D
1,0,B
0,8,D
0,5,D
1,7,D
1,7,B
1,3,D
0,3,A
0,0,A
1,0,C
0,5,D
0,5,D
0,3,A
1,4,D
1,0,A
1,4,D
1,5,D
1,4,A
0,8,D
1,1,A
1,0,A
0,3,A
0,5,D
0,0,A
1,2,B
0,2,A
1,8,D
1,3,C
0,1,B
1,0,B
0,8,D
0,1,A
1,7,D
0,5,D
0,0,B
1,7,C
1,4,B
0,3,D
1,3,B
0,5,D
1,6,A
0,0,C
1,7,A
0,3,D
1,0,C
0,0,D
1,0,B
1,7,C
0,0,A
1,7,B
1,4,C
1,4,B
1,7,A
1,7,A
1,2,B
1,0,B
0,5,D
1,4,B
0,1,D
0,1,C
1,0,A
0,1,B
1,5,D
1,2,A
0,0,B
0,0,D
0,1,A
0,1,D
1,0,A
1,0,C
0,5,D
0,1,D
0,0,A
0,6,A
0,0,A
0,5,D
1,4,B
0,0,C
0,5,D
1,3,B
0,5,D
0,3,D
0,3,A
0,5,D
0,3,C
1,0,A
1,0,C
0,5,D
0,5,D
1,4,D
0,3,D
1,3,B
0,2,B
1,0,B
1,3,A
0,5,D
0,5,B
1,2,B
1,4,B
0,1,D
0,5,D
0,0,A
1,0,B
1,5,D
0,5,C
0,2,D
0,3,A
1,6,D
0,8,A
0,3,D
1,0,C
0,0,A
1,2,D
0,5,D
1,3,C
1,5,A
1,0,C
1,4,C
0,5,D
1,0,C
1,1,A
0,1,C
1,7,C
1,2,B
0,0,B
1,0,C
1,7,A
0,0,B
1,0,C
1,7,D
1,3,B
0,5,B
1,5,D
0,5,D
1,0,C
0,5,D
1,5,B
0,1,A
0,5,D
1,0,C
1,0,C
1,0,B
0,5,D
1,0,C
1,0,B
0,1,D
1,0,C
1,7,D
1,3,C
1,2,A
0,3,C
1,2,B
1,7,A
1,8,D
1,5,B
1,0,B
1,7,D
0,2,C
1,0,B
1,0,B
0,0,B
1,0,C
1,4,B
1,4,D
1,7,D
0,5,B
0,3,A
0,5,D
1,0,B
1,1,A
0,3,A
1,1,A
0,5,D
0,5,D
0,3,B
1,0,B
0,7,B
1,0,D
0,8,D
0,6,A
1,7,C
1,0,C
1,0,C
1,3,A
1,0,D
0,0,A
0,6,D
0,5,B
0,5,D
1,3,B
1,2,D
1,4,B
1,1,A
1,0,C
1,0,C
0,5,D
0,5,D
0,0,C
0,5,D
1,3,C
0,3,D
0,5,D
0,5,D
0,5,D
1,3,C
0,4,D
1,7,D
1,0,C
1,1,C
0,0,B
0,5,D
